context:timestamp,org_abbr,sector,prov,municipality,status,context:location:latitude,context:location:longitude,m_code_str,m_code,
4/24/12 15:00,UNICEF/IMC,Health,Leyte,LA PAZ,ongoing,10.8808,124.903,83728000,,
4/24/12 15:00,UNICEF/IMC,Health,Leyte,MACARTHUR,ongoing,10.8248,124.938,83730000,,
4/24/12 15:00,UNICEF/IMC,Health,Leyte,Mayorga,ongoing,10.8832,124.988,83735000,,
4/24/12 15:00,UNICEF/IMC,Health,Leyte,Tabontabon,ongoing,11.0441,124.947,83746000,,
4/24/12 15:00,Volunteer for the Visayas,Health,Leyte,Babatngon,completed,11.388,124.895,83705000,,
4/24/12 15:00,Volunteer for the Visayas,Health,Leyte,Dagami,completed,11.0614,124.863,83717000,,
4/24/12 15:00,Volunteer for the Visayas,Health,Leyte,Dulag,completed,10.9633,125.008,83718000,,
4/24/12 15:00,Volunteer for the Visayas,Health,Leyte,Palo,completed,11.1457,124.97,83739000,,
4/24/12 15:00,Volunteer for the Visayas,Health,Leyte,Pastrana,completed,11.1154,124.861,83741000,,
4/24/12 15:00,Volunteer for the Visayas,Health,Leyte,SANTA FE,completed,11.1887,124.936,83744000,,
4/24/12 15:00,Volunteer for the Visayas,Health,Leyte,Tabontabon,completed,11.0441,124.947,83746000,,
4/24/12 15:00,Volunteer for the Visayas,Health,Leyte,TOLOSA,completed,11.0369,125.02,83749000,,
4/24/12 15:00,World Vision International,Health,Leyte,AlangAlang,ongoing,11.22,124.864,83702000,,
4/24/12 15:00,World Vision International,Health,Leyte,Dulag,ongoing,10.9633,125.008,83718000,,
4/24/12 15:00,World Vision International,Health,Leyte,Julita,ongoing,10.9813,124.961,83725000,,
4/24/12 15:00,World Vision International,Health,Leyte,Mayorga,ongoing,10.8832,124.988,83735000,,
4/24/12 15:00,World Vision International,Health,Leyte,Tabontabon,ongoing,11.0441,124.947,83746000,,
4/24/12 15:00,ACF International Philippines Mission,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,Acts World Relief Organization,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,Americares,Health,Leyte,Tacloban city(capital),planned,11.2724,124.955,83747000,,
4/24/12 15:00,Child Fund International,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,Fortunate Blessings Foundation/ Second Response Initiative,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,Fortunate Blessings Foundation/ Second Response Initiative,Health,Leyte,Tacloban city(capital),planned,11.2724,124.955,83747000,,
4/24/12 15:00,FPOP - Family Planning Organization of the Philippines,Health,Leyte,Tacloban city(capital),planned,11.2724,124.955,83747000,,
4/24/12 15:00,FPOP/Saudes em Portugues,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,Handicap International,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,HUMEDICA,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,HUMEDICA,Health,Leyte,Tacloban city(capital),planned,11.2724,124.955,83747000,,
4/24/12 15:00,ICAD Foundation,Health,Leyte,Tacloban city(capital),planned,11.2724,124.955,83747000,,
4/24/12 15:00,IOM - International Organization for Migration,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,JICA,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,Korean Medical Mission/United Christ Church,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,Kusog Tacloban,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
