context:timestamp,org_abbr,sector,prov,municipality,status,context:location:latitude,context:location:longitude,m_code_str,m_code
4/24/2012 15:00,IMC,Nutrition,LEYTE,KANANGA,Planned,11.169,124.564,83726000,83726
4/24/2012 15:00,IMC,Nutrition,LEYTE,KANANGA,Ongoing,11.169,124.564,83726000,83726
4/24/2012 15:00,IMC,Nutrition,LEYTE,LA PAZ,Completed,10.8808,124.903,83728000,83728
4/24/2012 15:00,IMC,Nutrition,LEYTE,MACARTHUR,Completed,10.8248,124.938,83730000,83730
4/24/2012 15:00,IMC,Nutrition,LEYTE,MAYORGA,Completed,10.8832,124.988,83735000,83735
4/24/2012 15:00,IMC,Nutrition,LEYTE,PALOMPON,Completed,11.034,124.422,83740000,83740
4/24/2012 15:00,IMC,Nutrition,LEYTE,PALOMPON,Planned,11.034,124.422,83740000,83740
4/24/2012 15:00,IMC,Nutrition,LEYTE,PALOMPON,Ongoing,11.034,124.422,83740000,83740
4/24/2012 15:00,IMC,Nutrition,LEYTE,ORMOC CITY,Completed,11.0552,124.636,83738000,83738
4/24/2012 15:00,IMC,Nutrition,LEYTE,TABONTABON,Completed,11.0441,124.947,83746000,83746
4/24/2012 15:00,MDM,Nutrition,LEYTE,ABUYOG,Completed,10.6584,125.045,83701000,83701
4/24/2012 15:00,MDM,Nutrition,LEYTE,ALBUERA,Completed,10.9258,124.745,83703000,83703
4/24/2012 15:00,MDM,Nutrition,LEYTE,CARIGARA,Completed,11.2368,124.693,83715000,83715
4/24/2012 15:00,MDM,Nutrition,LEYTE,ORMOC CITY,Completed,11.0552,124.636,83738000,83738
4/24/2012 15:00,MedAir,Nutrition,LEYTE,DULAG,Completed,10.9633,125.008,83718000,83718
4/24/2012 15:00,MIA,Nutrition,LEYTE,DULAG,Ongoing,10.9633,125.008,83718000,83718
4/24/2012 15:00,MSF,Nutrition,LEYTE,ALANGALANG,Completed,11.22,124.864,83702000,83702
4/24/2012 15:00,MSF,Nutrition,LEYTE,BARUGO,Completed,11.3078,124.769,83706000,83706
4/24/2012 15:00,MSF,Nutrition,LEYTE,CAPOOCAN,Completed,11.2501,124.604,83714000,83714
4/24/2012 15:00,MSF,Nutrition,LEYTE,JARO,Completed,11.162,124.766,83723000,83723
4/24/2012 15:00,MSF,Nutrition,LEYTE,LEYTE,Completed,11.338,124.494,83729000,83729
4/24/2012 15:00,MSF,Nutrition,LEYTE,MATAG-OB,Completed,11.124,124.468,83733000,83733
4/24/2012 15:00,MSF,Nutrition,LEYTE,MERIDA,Completed,10.9636,124.51,83736000,83736
4/24/2012 15:00,MSF,Nutrition,LEYTE,ORMOC CITY,Completed,11.0552,124.636,83738000,83738
4/24/2012 15:00,MSF,Nutrition,LEYTE,PASTRANA,Completed,11.1154,124.861,83741000,83741
4/24/2012 15:00,MSF,Nutrition,LEYTE,SAN ISIDRO,Completed,11.4245,124.356,83742000,83742
4/24/2012 15:00,MSF,Nutrition,LEYTE,SANTA FE,Completed,11.1887,124.936,83744000,83744
4/24/2012 15:00,MSF,Nutrition,LEYTE,TABANGO,Completed,11.3093,124.404,83745000,83745
4/24/2012 15:00,MSF,Nutrition,LEYTE,TACLOBAN CITY (CAPITAL),Ongoing,11.2724,124.955,83747000,83747
4/24/2012 15:00,MSF,Nutrition,EASTERN SAMAR,GUIUAN,Completed,10.8515,125.737,82609000,82609
4/24/2012 15:00,MSF,Nutrition,LEYTE,TANAUAN,Completed,11.0846,124.991,83748000,83748
4/24/2012 15:00,MSF,Nutrition,LEYTE,TOLOSA,Ongoing,11.0369,125.02,83749000,83749
4/24/2012 15:00,MSF,Nutrition,LEYTE,VILLABA,Completed,11.1957,124.435,83751000,83751
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,BALANGIGA,Planned,11.2017,125.364,82602000,82602
